game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
64,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
65,Dummy,22,0,2,2,sample.json,12,8,Age2,2.0
65,GreedyAi,22,1,1,2,sample.json,12,8,Age1,1.0
66,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
66,ConnectClosestMinesAi,1681,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
67,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
67,Dummy,27,1,1,2,sample.json,12,8,Age2,2.0
68,ConnectClosestMinesAi,30,0,2,2,sample.json,12,8,Age0,0.0
68,Dummy,0,1,1,2,sample.json,12,8,Age2,2.0
69,Dummy,108,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
69,ConnectClosestMinesAi,1611,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
70,Dummy,27,0,2,2,sample.json,12,8,Age2,2.0
70,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
71,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
71,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
72,ConnectClosestMinesAi,2076,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
72,Dummy,190,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
73,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
73,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
74,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
74,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
75,Dummy,390,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
75,ConnectClosestMinesAi,1438,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
76,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
76,GreedyAi,2104,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
77,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
77,Dummy,27,1,1,2,sample.json,12,8,Age2,2.0
78,Dummy,25,0,2,2,sample.json,12,8,Age2,2.0
78,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
79,Dummy,22,0,2,2,sample.json,12,8,Age2,2.0
79,GreedyAi,22,1,1,2,sample.json,12,8,Age1,1.0
80,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
80,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
81,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
81,ConnectClosestMinesAi,1688,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
82,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
82,GreedyAi,25,0,2,2,sample.json,12,8,Age1,1.0
83,Dummy,1085,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
